title,categories,difficulty,hints,series,youtube
Crash Bandicoot ~ Ripper Roo,"Battle, Boss",Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=Ijle1x7hqV4
Crash Bandicoot ~ Road To Nowhere/The High Road,Locale,Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=1QlTWHLXjuE
Crash Bandicoot 2 ~ Bear It/Bear Down/Totally Bear,Locale,Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=Cg0Jb2tW7Xk
Crash Bandicoot 2 ~ Main Menu,Screen,Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=zUpgD49_euo
Crash Bandicoot 2 ~ Tiny Tiger,"Battle, Boss",Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=vtDBojaPsic
Crash Bandicoot 3 ~ Main Menu,Screen,Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=F6PoWt8lFgs
Croc - Legend of the Gobbos ~ Desert Island 1,Desert,Tough,,Other,https://www.youtube.com/watch?v=alEHCvMHJPc
Curious George GBA ~ Ship,Locale,Merciless,,Other,https://youtu.be/PFVkinZjH-8?si=Tr4rhweCnma1Uh5W
Dance Dance Revolution: Mario Mix ~ Destruction Dance,"Character, Adversary, Boss",Lunatic,Passion in Purple,"Nintendo, Mario",https://youtu.be/Bvcyz-OLHxs?si=g0xQXq5IYTWWyGAH
DANGANRONPA V3 ~ V3 SCRUM (SCRUM DEBATE),Event,Normal,,"Spike Chunsoft, Danganronpa",https://youtu.be/32GWbQt_Zn4
Danganronpa: Trigger Happy Havoc ~ -BREAK-,Event,Normal,,"Spike Chunsoft, Danganronpa",https://youtu.be/gtzA7keHj3o?si=08iJsH3P6Txo3I52
Danganronpa: Trigger Happy Havoc ~ Beautiful Days,Locale,Easy,,"Spike Chunsoft, Danganronpa",https://youtu.be/1fcTehL5YsQ?si=w4C6rN-zSZ9-7jzQ
Danganronpa: Trigger Happy Havoc ~ Beautiful Dead,Locale,Easy,,"Spike Chunsoft, Danganronpa",https://youtu.be/UjU5Joaq5OY?si=EuKXBc5XoKxUp0zi
Danganronpa: Trigger Happy Havoc ~ Climax Reasoning,"Event, Other",Normal,,"Spike Chunsoft, Danganronpa",https://youtu.be/FVVJ7Zjmtpw?si=QOVTDpzmo8YWMd_r
Danganronpa: Trigger Happy Havoc ~ DANGANRONPA,"Screen, Other",Easy,Really? Just listen to the song???,"Spike Chunsoft, Danganronpa",https://youtu.be/3Xxlh9LdkTw?si=nT47kTjbgUz_VspX
Danganronpa: Trigger Happy Havoc ~ New World Order,Cutscene,Normal,The end of despair is near,"Danganronpa, Spike Chunsoft",https://youtu.be/1YKHLqBinY0?si=ycY6WR_4j_dRMAB6
Danganronpa: Trigger Happy Havoc ~ Thousand Knocks,Cutscene,Normal,,"Spike Chunsoft, Danganronpa",https://youtu.be/ba-o18U03wY?si=CTykhCxH_6MkDvKF
Dark Souls ~ Knight Artorias,"Battle, Boss",Merciless,,"FromSoftware, Dark Souls",https://youtu.be/Eg4mvKnbYTs?si=ZLq36Qz6tfqXaUdz
Death Road to Canada ~ Green on Green,"Locale, Cutscene",Merciless,Ami traveling to Secret,"Indie, Death Road to Canada",https://www.youtube.com/watch?v=mByPU0n_GHs
Dedede's Drum Dash Deluxe ~ C-R-O-W-N-E-D,Character,Normal,,"Kirby, Nintendo",https://www.youtube.com/watch?v=pRzOMneoHgY
Deltarune ~ A CYBER'S WORLD?,Locale,Easy,Welcome to the internet,"Indie, Deltarune",https://www.youtube.com/watch?v=In3y0C7mQvA
